No,year,month,day,hour,V1,V2,V3,V4,S1,S2,S3,Label
81,2010,1,4,8,4,5,0,0,0,19.6143939,24.56748252,1
82,2010,1,4,9,8,1,0,0,0,22.54387352,46.17151158,1
83,2010,1,4,10,11,9,0,0,0,10.9784303,13.77996575,1
84,2010,1,4,11,7,7,0,0,0,13.27863971,17.3991305,1
85,2010,1,4,12,11,8,0,0,0,11.88773861,39.17647059,1
86,2010,1,4,13,12,16,0,0,0,19.78846154,14.50355147,1
87,2010,1,4,14,6,12,0,0,0,0,35.93750976,1
88,2010,1,4,15,6,4,0,0,0,12.565,0,1
89,2010,1,4,16,10,16,0,0,0,10.29989939,21.84193548,1
90,2010,1,4,17,7,4,0,0,0,13.92877447,16.7263671,1
91,2010,1,4,18,15,14,0,0,0,14.05653355,16.67266282,1
92,2010,1,4,19,7,16,0,0,0,9.618821155,14.10989173,1
93,2010,1,4,20,8,11,0,0,0,9.586494945,15.60921927,1
94,2010,1,4,21,9,4,0,0,0,27.38944437,14.64253936,1
95,2010,1,4,22,6,8,0,0,0,9.140992321,15.80063766,1
96,2010,1,4,23,6,6,0,0,0,23.20216216,52.26843814,1
97,2010,1,5,0,4,5,0,0,0,19.6143939,24.56748252,1
98,2010,1,5,1,8,1,0,0,0,22.54387352,46.17151158,1
99,2010,1,5,2,11,9,0,0,0,10.9784303,13.77996575,1
100,2010,1,5,3,7,7,0,0,0,13.27863971,17.3991305,1
101,2010,1,5,4,11,8,0,0,0,11.88773861,39.17647059,1
102,2010,1,5,5,12,16,0,0,0,19.78846154,14.50355147,1
103,2010,1,5,6,6,12,0,0,0,0,35.93750976,1
104,2010,1,5,7,6,4,0,0,0,12.565,0,1
105,2010,1,5,8,10,16,0,0,0,10.29989939,21.84193548,1
106,2010,1,5,9,7,4,0,0,0,13.92877447,16.7263671,1
107,2010,1,5,10,15,14,0,0,0,14.05653355,16.67266282,1
108,2010,1,5,11,7,16,0,0,0,9.618821155,14.10989173,1
109,2010,1,5,12,8,11,0,0,0,9.586494945,15.60921927,1
110,2010,1,5,13,9,4,0,0,0,27.38944437,14.64253936,1
111,2010,1,5,14,6,8,0,0,0,9.140992321,15.80063766,1
112,2010,1,5,15,6,6,0,0,0,23.20216216,52.26843814,1
